iter	Passed	Remaining
0	180	180452
1	193	96535
2	206	68565
3	219	54633
4	228	45461
5	237	39319
6	245	34845
7	252	31368
8	260	28695
9	267	26481
10	274	24691
11	281	23204
12	288	21867
13	295	20815
14	301	19814
15	308	19002
16	314	18210
17	321	17530
18	327	16913
19	333	16351
20	340	15877
21	346	15391
22	352	14954
23	357	14555
24	363	14178
25	369	13853
26	375	13526
27	381	13230
28	386	12947
29	392	12685
30	399	12487
31	409	12385
32	416	12206
33	423	12028
34	429	11847
35	437	11725
36	444	11565
37	450	11409
38	462	11394
39	472	11330
40	480	11245
41	487	11121
42	494	11001
43	499	10858
44	505	10732
45	512	10622
46	518	10504
47	525	10426
48	531	10317
49	537	10216
50	542	10103
51	548	10002
52	554	9905
53	559	9807
54	564	9707
55	570	9621
56	576	9534
57	581	9441
58	586	9357
59	591	9270
60	596	9188
61	602	9113
62	607	9041
63	613	8965
64	618	8896
65	623	8823
66	629	8765
67	634	8701
68	640	8638
69	645	8578
70	651	8522
71	656	8464
72	662	8414
73	668	8361
74	673	8304
75	681	8289
76	687	8238
77	692	8191
78	698	8142
79	703	8092
80	709	8048
81	714	8001
82	719	7953
83	725	7913
84	730	7868
85	736	7824
86	741	7781
87	746	7740
88	752	7699
89	757	7657
90	762	7620
91	768	7589
92	775	7558
93	781	7529
94	787	7500
95	793	7467
96	799	7438
97	804	7402
98	810	7372
99	816	7344
100	821	7312
101	827	7282
102	832	7254
103	838	7228
104	845	7203
105	851	7177
106	856	7152
107	863	7127
108	868	7100
109	874	7072
110	879	7046
111	885	7018
112	890	6992
113	898	6983
114	905	6966
115	913	6957
116	919	6937
117	926	6922
118	932	6903
119	939	6890
120	947	6880
121	954	6868
122	960	6851
123	967	6837
124	974	6820
125	980	6804
126	987	6789
127	994	6774
128	1000	6754
129	1007	6744
130	1013	6722
131	1020	6707
132	1026	6694
133	1033	6676
134	1039	6659
135	1045	6640
136	1051	6620
137	1057	6604
138	1062	6583
139	1068	6564
140	1074	6547
141	1080	6529
142	1086	6511
143	1092	6494
144	1097	6471
145	1103	6453
146	1109	6435
147	1114	6413
148	1119	6391
149	1124	6374
150	1130	6355
151	1135	6334
152	1141	6319
153	1146	6298
154	1152	6280
155	1158	6267
156	1163	6249
157	1170	6235
158	1175	6218
159	1180	6197
160	1186	6182
161	1192	6167
162	1197	6146
163	1202	6130
164	1207	6112
165	1212	6093
166	1218	6079
167	1223	6061
168	1228	6042
169	1234	6026
170	1239	6007
171	1244	5988
172	1249	5971
173	1254	5956
174	1259	5937
175	1264	5919
176	1269	5904
177	1274	5887
178	1279	5870
179	1285	5857
180	1290	5839
181	1295	5821
182	1301	5811
183	1306	5795
184	1311	5779
185	1317	5767
186	1322	5751
187	1327	5735
188	1333	5723
189	1338	5707
190	1343	5690
191	1349	5678
192	1354	5663
193	1360	5650
194	1366	5640
195	1371	5623
196	1375	5608
197	1381	5597
198	1386	5582
199	1392	5570
200	1398	5559
201	1403	5544
202	1408	5530
203	1414	5519
204	1419	5505
205	1425	5493
206	1431	5484
207	1437	5472
208	1442	5460
209	1448	5448
210	1453	5434
211	1457	5419
212	1464	5411
